FWMHgA5iUxz3zMYf7jRJk8Z9ebWNWpvd7358rGCPFr7M,10922050.33654941
3JHAo8QQU8EyysMPGvybpg66Y6swZ9MHdzBox6h597ZZ,7085.53056501
HWi2fWgj6qRmh89TRMCwfgEMHHP59aMuTXTnSdmt3Nvj,6973.44151713
EmsEeR5qYsanZRQmkiFkMKRBs6kbKCP1w1c4YzwL3Dw4,6973.44151712
HFG2Wpsh2gZounhHi39myopixWnbHXavfPvt4aBSdnuw,6563.8802276
73mGtMZqzxuUwiUbAi9aweeyKc1YVbJZjA6u1HXnG86S,6152.60812674
25sMFppr5BHTjsX4qcHNM54wXmpbfp322tArnVyQNX9n,3750.1278848
D9Ay7f6wJSsYf7Kxha6D3axpPpuBFQTXXs9AX3Ji2GrA,1788.3155964
BVobbm9B9Zk1QJWVKLyhkn36FkfGbr3vBKi5zw6xF3K4,405.89821223
8gAgUY6JpnMm1mwWnYrch8p1oTdoeHjijLqkuXP1WoXy,389.23293459
43AyFoM23gKebFrR5p3L7gR5LL1NhtyfmwwFNVizW2cu,200.62613301
5pUBGwV4YRBCF9eAgr3kpFLr1v9YBXjfeAoDYxCURK98,171.26445995
DPqNjmwaDNj4CdBWzimEvAy6WZDC2yvRoqBbVraZmZK7,153.14866448
4Cq4gczRSMFSvwW8Tu2qfq4sGNjHVnuaf8G4ZPDPss48,131.13436927
BgSNxqtC375Q7Psxraxc4kxdVz8piK6jBB3GLkmRhRSh,128.00729593
9zN8R9ECkbykkoYFuzoSV4heeajSER2UM7RSEpT8LbUX,100.0
HCAHMosQ271B1veJKaqUgyqayNzBQfdHkXo7u8vaM65b,62.11469188
DtgBYqqnx9RP9WDez7KN9GzcMGtUfnvwGidhrGK7rry,30.69386796
5ciiCD3vTX6Hcq3aZnBoZ8A1QDfYWNe5joWJ4gAfzqQD,9.14485081
BjmMSQgt49fkqDV4d4ynaxJcwTRQ53ACUvnnfNyhV54n,5.0
4zx2PjtHHG9KWBGnidJNRjJekr6rdo49ojDzpPcKus7k,0.69248372
BaPzBiJeXXyTMTmY4j75eQndkHfRNuW3sEayuJEF1uZu,0.07111911
5veTGaKebgyCz1UEt2YW7M9vH79nPoWpRToLbcuqwTkG,1e-08
2YQe5UeftTqg6fHjXVFSTnxAfeizdbPgqHqzVB2GiBLi,1e-08
93rJBhsxZQvFuudYZdhT7mtRfAfR5rC9nQNvWLjKbhJE,1e-08
4UHzdw2KSrWeu3HCFryCskXQWWswByyALCTC1G5tHPm6,1e-08
FDYkR2CkbrmzTKwsSiFpi5a2DB7V6fJDedxAES7io9mF,1e-08
Ep7Z8H5TDjeRU4ft5zkXoTfR4zfcNMwta6BrcVFW41dL,1e-08
8MMbDJf5P4k5mcvJXQ45FqbuSqEsaxokM8CapyCv1Gbd,1e-08
